Observation	Action i	Action j	Action hot bits	Reward	Evaluation time	Agent seed
						
[128   0   0 ...   0   0   0]	0	0	[289 486 223 285 451 118  91]	-9.08533602405734	0.0	90210
[128   0   0 ...   0   0   0]	0	1	[250  53 107 252 236   4 277]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	2	[425 398 181 347  60 343 415]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	3	[194 299 465 507 247 399  79]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	4	[109 289 484 402 302 102 426]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	5	[321 240 144 477 200 197 382]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	6	[148 240 112 479 209  55 242]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	7	[275 306  75 151 134 394 363]	-9.08533602405734	0.0156402587890625	
[128   0   0 ...   0   0   0]	0	8	[ 43 175 288 249 122  28 325]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	9	[ 95  53 381 219 383 370  70]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	10	[ 53 233 224 313 326 148 165]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	11	[321 328 174  60 382 296 136]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	12	[ 83 510 280 231 167  17 336]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	13	[398 447 119 416  55 102 137]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	14	[ 73 188  45 351 363  96 492]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	0	[  6 309 227 123 255 407 414]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	1	[499 407  25  95 257 396 505]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	2	[ 83 271  26 302 262  66 176]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	3	[ 45 429 269 259 458 287 240]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	4	[261 290  34 111 453 287 331]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	5	[466 106 416 167 467  22 449]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	6	[262 459 403   1 388 446 279]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	7	[151 423 176 264  62 191 296]	-9.08533602405734	0.0	
